Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-05-23,144.35,144.7,143.48,144.67,3459747.0,0.0,1.0,144.35,144.7,143.48,144.67,3459747.0
2018-05-22,145.52,146.204,145.0,145.09,2284020.0,0.0,1.0,145.52,146.204,145.0,145.09,2284020.0
2018-05-21,144.95,146.04,144.68,145.49,2894698.0,0.0,1.0,144.95,146.04,144.68,145.49,2894698.0
2018-05-18,144.47,144.94,143.99,144.08,2677517.0,0.0,1.0,144.47,144.94,143.99,144.08,2677517.0
2018-05-17,144.5,145.19,143.77,144.5,3147470.0,0.0,1.0,144.5,145.19,143.77,144.5,3147470.0
2018-05-16,143.7,145.0275,143.27,144.63,3168494.0,0.0,1.0,143.7,145.0275,143.27,144.63,3168494.0
2018-05-15,143.5,143.99,142.92,143.74,4088991.0,0.0,1.0,143.5,143.99,142.92,143.74,4088991.0
2018-05-14,144.47,145.12,144.14,144.3,3215062.0,0.0,1.0,144.47,145.12,144.14,144.3,3215062.0
2018-05-11,144.11,144.85,143.58,144.14,3073154.0,0.0,1.0,144.11,144.85,143.58,144.14,3073154.0
2018-05-10,143.15,144.33,143.01,144.24,3726608.0,0.0,1.0,143.15,144.33,143.01,144.24,3726608.0
2018-05-09,141.9,143.02,141.28,142.61,4195121.0,1.57,1.0,141.9,143.02,141.28,142.61,4195121.0
2018-05-08,143.0,143.507,142.06,143.0,5367438.0,0.0,1.0,141.44284921625746,141.94432840893327,140.51308503259816,141.44284921625746,5367438.0
2018-05-07,144.0,144.32,142.6403,143.22,3657009.0,0.0,1.0,142.43196004993757,142.74847551671522,141.0870660493827,141.66045359966708,3657009.0
2018-05-04,141.1,144.35,140.28,143.91,4400350.0,0.0,1.0,139.56353863226522,142.77814884172562,138.75246774864752,142.34294007490638,4400350.0
2018-05-03,142.13,142.23,139.9,141.99,5017227.0,0.0,1.0,140.58232279095574,140.68123387432377,138.3766056318491,140.44384727424054,5017227.0
2018-05-02,144.46,144.82,142.07,142.45,5194226.0,0.0,1.0,142.88695103343045,143.24303093355527,140.52297614093493,140.8988382577334,5194226.0
2018-05-01,144.65,145.02,143.47,145.0,4430674.0,0.0,1.0,143.07488209182966,143.44085310029132,141.9077313080871,143.42107088361772,4430674.0
2018-04-30,146.86,147.38,144.96,144.96,4413515.0,0.0,1.0,145.26081703426274,145.77515466777638,143.3815064502705,143.3815064502705,4413515.0
